form	lemma	POS	morph
Inter	inter	PRE	MORPH=empty
carnis	caro1	NOMcom	Case=Gen|Numb=Plur
alimenta	alimentum	NOMcom	Case=Acc|Numb=Plur
benedicti	benedico2	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
martyres	martyr	NOMcom	Case=Nom|Numb=Plur
designati	designo	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
quae	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Neut
vobis	uos	PROper	Case=Dat|Numb=Plur
et	et2	CONcoo	MORPH=empty
domina	domina	NOMcom	Case=Nom|Numb=Sing
mater	mater	NOMcom	Case=Nom|Numb=Sing
ecclesia	ecclesia	NOMcom	Case=Nom|Numb=Sing
de	de	PRE	MORPH=empty
uberibus	uber1	NOMcom	Case=Abl|Numb=Plur
suis	suus	PROpos.ref	Case=Abl|Numb=Plur|Gend=Com
et	et2	CONcoo	MORPH=empty
singuli	singulus	ADJdis	Case=Nom|Numb=Plur|Gend=Masc
fratres	frater	NOMcom	Case=Nom|Numb=Plur
de	de	PRE	MORPH=empty
opibus	ops	NOMcom	Case=Abl|Numb=Plur
suis	suus	PROpos.ref	Case=Abl|Numb=Plur|Gend=Com
propriis	proprius	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
in	in	PRE	MORPH=empty
carcerem	carcer	NOMcom	Case=Acc|Numb=Sing
subministrant	subministro	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
capite	caput	NOMcom	Case=Abl|Numb=Sing
aliquid	aliquis	PROind	Case=Acc|Numb=Sing|Gend=Neut
et	et2	CONcoo	MORPH=empty
a	ab	PRE	MORPH=empty
nobis	nos	PROper	Case=Abl|Numb=Plur
quod	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Neut
faciat	facio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ad	ad2	PRE	MORPH=empty
spiritum	spiritus	NOMcom	Case=Acc|Numb=Sing
quoque	quoque	ADV	Deg=Pos
educandum	educo1	VER	Case=Acc|Numb=Sing|Gend=MascNeut|Mood=Adj|Voice=Pass
Carnem	caro1	NOMcom	Case=Acc|Numb=Sing
enim	enim2	CONcoo	MORPH=empty
saginari	sagino	VER	Mood=Inf|Tense=Pres|Voice=Pass
et	et2	CONcoo	MORPH=empty
spiritum	spiritus	NOMcom	Case=Acc|Numb=Sing
esurire	esurio2	VER	Mood=Inf|Tense=Pres|Voice=Act
non	non	ADVneg	MORPH=empty
prodest	prosum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Immo	immo	ADV	Deg=Pos
si	si2	CONsub	MORPH=empty
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut
infirmum	infirmus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Pos
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
curatur	curo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
aeque	aeque	ADV	Deg=Pos
quod	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Neut
infirmius	infirmus	ADJqua	Case=Nom|Numb=Sing|Gend=Neut|Deg=Comp
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
neglegi	negligo	VER	Mood=Inf|Tense=Pres|Voice=Pass
non	non	ADVneg	MORPH=empty
debet	debeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Nec	nec2	CONcoo	MORPH=empty
tantus	tantus	PROdem	Case=Nom|Numb=Sing|Gend=Masc
ego	ego	PROper	Case=Nom|Numb=Sing
sum	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=1
ut	ut4	CONsub	MORPH=empty
vos	uos	PROper	Case=Acc|Numb=Plur
alloquar	alloquor	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Dep|Person=1
Verumtamen	uerumtamen	ADV	Deg=Pos
et	et2	CONcoo	MORPH=empty
gladiatores	gladiator	NOMcom	Case=Acc|Numb=Plur
perfectissimos	perfectus2	ADJqua	Case=Acc|Numb=Plur|Gend=Masc|Deg=Sup
non	non	ADVneg	MORPH=empty
tantum	tantum2	ADV	Deg=Pos
magistri	magister	NOMcom	Case=Nom|Numb=Plur
et	et2	CONcoo	MORPH=empty
praepositi	praepono	NOMcom	Case=Gen|Numb=Plur|Gend=MascNeut
sui	suus	PROpos.ref	Case=Nom|Numb=Sing
sed	sed	CONcoo	MORPH=empty
etiam	etiam	ADV	Deg=Pos
idiotae	idiota	NOMcom	Case=Nom|Numb=Plur
et	et2	CONcoo	MORPH=empty
supervacue	superuacue	ADV	Numb=Plur|Deg=Pos
quique	qui	PROrel	Case=Nom|Numb=Plur|Gend=Masc
{quique}	que	CON	MORPH=empty
adhortantur	adhortor	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Dep|Person=3
de	de	PRE	MORPH=empty
longinquo	longinquum1	NOMcom	Case=Abl|Numb=Sing
ut	ut4	CONsub	MORPH=empty
saepe	saepe	ADV	Deg=Pos
de	de	PRE	MORPH=empty
ipso	ipse	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
populo	populus1	NOMcom	Case=Abl|Numb=Sing
dictata	dicto	VER	Case=Abl|Numb=Plur|Gend=Neut|Mood=Par|Tense=Perf|Voice=Pass
suggesta	suggero	VER	Case=Nom|Numb=Plur
profuerint	prosum1	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
Inprimis	imprimis	ADV	Deg=Pos
ergo	ergo2	CONcoo	MORPH=empty
benedicti	benedico2	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
nolite	nolo	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
contristare	contristo	VER	Mood=Inf|Tense=Pres|Voice=Act
spiritum	spiritus	NOMcom	Case=Acc|Numb=Sing
sanctum	sanctus	ADJqua	Case=Acc|Numb=Sing|Gend=MascNeut|Deg=Pos
qui	qui1	PROrel	Case=Nom|Numb=Sing|Gend=Masc
vobiscum	uos	PROper	Case=Abl|Numb=Plur
{vobiscum}	cum3	CON	MORPH=empty
introiit	introeo1	VER	Numb=Sing|Mood=Ind|Tense=Perf|Voice=Act|Person=3
carcerem	carcer	NOMcom	Case=Acc|Numb=Sing
Si	si2	CONsub	MORPH=empty
enim	enim2	CONcoo	MORPH=empty
non	non	ADVneg	MORPH=empty
vobiscum	uos	PROper	Case=Abl|Numb=Plur
{vobiscum}	cum3	CON	MORPH=empty
nunc	nunc	ADV	Deg=Pos
introisset	introeo1	VER	Numb=Sing|Mood=Sub|Tense=Pqp|Voice=Act|Person=3
nec	neque	CONcoo	MORPH=empty
vos	uos	PROper	Case=Nom|Numb=Plur
illic	illic2	ADV	Deg=Pos
hodie	hodie	ADV	Deg=Pos
fuissetis	sum1	VER	Numb=Plur|Mood=Sub|Tense=Pqp|Voice=Act|Person=2
Et	et2	CONcoo	MORPH=empty
ideo	ideo	ADV	Deg=Pos
date	do	VER	Numb=Plur|Mood=Imp|Tense=Pres|Voice=Act|Person=2
operam	opera	NOMcom	Case=Acc|Numb=Sing
ut	ut4	CONsub	MORPH=empty
illic	illic2	ADV	Case=Nom
vobiscum	uos	PROper	Case=Abl|Numb=Plur
{vobiscum}	cum3	CON	MORPH=empty
perseveret	perseuero	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ita	ita	ADV	Deg=Pos
vos	uos	PROper	Case=Acc|Numb=Plur
inde	inde	ADV	Deg=Pos
perducat	perduco	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
ad	ad2	PRE	MORPH=empty
dominum	dominus	NOMcom	Case=Acc|Numb=Sing
Domus	domus	NOMcom	Case=Gen|Numb=Sing
quidem	quidem	ADV	Deg=Pos
diaboli	diabolus	NOMcom	Case=Gen|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
et	et2	CONcoo	MORPH=empty
carcer	carcer	NOMcom	Case=Nom|Numb=Sing
in	in	PRE	MORPH=empty
qua	qui1	PROrel	Case=Abl|Numb=Sing|Gend=Fem
familiam	familia	NOMcom	Case=Acc|Numb=Sing
suam	suus	PROpos.ref	Case=Acc|Numb=Sing|Gend=Fem
continet	contineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Sed	sed	CONcoo	MORPH=empty
vos	uos	PROper	Case=Nom|Numb=Plur
ideo	ideo	ADV	Deg=Pos
in	in	PRE	MORPH=empty
carcerem	carcer	NOMcom	Case=Acc|Numb=Sing
pervenistis	peruenio	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=2
ut	ut4	CONsub	MORPH=empty
illum	ille	PROdem	Case=Acc|Numb=Sing|Gend=Masc
etiam	etiam	ADV	Deg=Pos
in	in	PRE	MORPH=empty
domo	domus	NOMcom	Case=Abl|Numb=Sing
sua	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=Fem
conculcetis	conculco	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=2
Iam	iam	ADV	Deg=Pos
enim	enim2	CONcoo	MORPH=empty
foris	foris2	ADV	Deg=Pos
congressi	congredior	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Dep
conculcaveratis	conculco	VER	Numb=Plur|Gend=Com|Mood=Ind|Tense=Pqp|Voice=Act|Person=2
Non	non	ADVneg	MORPH=empty
ergo	ergo2	CONcoo	MORPH=empty
dicat	dico2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
In	in	PRE	MORPH=empty
meo	meus	PROpos	Case=Abl|Numb=Sing|Gend=Masc
sunt	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
temptabo	tento	VER	Numb=Sing|Mood=Ind|Tense=Fut|Voice=Act|Person=1
illos	ille	PROdem	Case=Acc|Numb=Plur|Gend=Masc
vilibus	uilis	ADJqua	Case=Abl|Numb=Plur|Gend=Com|Deg=Pos
odiis	odium	NOMcom	Case=Abl|Numb=Plur
defectionibus	defectio	NOMcom	Case=Abl|Numb=Plur
aut	aut	CONcoo	MORPH=empty
inter	inter	PRE	MORPH=empty
se	sui1	PROref	Case=Acc|Numb=Sing
dissensionibus	dissensio	NOMcom	Case=Abl|Numb=Plur
Fugiat	fugio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
conspectum	conspectus1	NOMcom	Case=Acc|Numb=Sing
vestrum	uester	PROpos	Case=Acc|Numb=Sing
et	et2	CONcoo	MORPH=empty
in	in	PRE	MORPH=empty
ima	inferus	NOMcom	Case=Acc|Numb=Sing
sua	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=Neut
deliteseat	delitese	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
contractus	contractus?	VER	Case=Nom|Numb=Sing|Gend=Masc
et	et2	CONcoo	MORPH=empty
torpens	torpeo	VER	Case=Nom|Numb=Sing|Gend=Com|Mood=Par|Tense=Pres|Voice=Act
tamquam	tamquam1	ADVrel	MORPH=empty
coluber	coluber	NOMcom	Case=Nom|Numb=Sing
exeantatus	exeanto	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
aut	aut	CONcoo	MORPH=empty
effumigatus	effumigo	VER	Case=Nom|Numb=Sing|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
Nec	nec2	CONcoo	MORPH=empty
illi	ille	PROdem	Case=Dat|Numb=Sing|Gend=Com
tam	tam	ADV	Deg=Pos
bene	bene	ADV	Deg=Pos
sit	sum1	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
in	in	PRE	MORPH=empty
suo	suus	PROpos.ref	Case=Abl|Numb=Sing|Gend=MascNeut
regno	regnum	NOMcom	Case=Abl|Numb=Sing
ut	ut1	ADVrel	MORPH=empty
vos	uos	PROper	Case=Acc|Numb=Plur
commitat	commito	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sed	sed	CONcoo	MORPH=empty
inveniat	inuenio	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
munitos	munitus	ADJqua	Case=Acc|Numb=Plur|Gend=Masc
et	et2	CONcoo	MORPH=empty
concordia	concordia	NOMcom	Case=Abl|Numb=Sing
armatos	armatus1	NOMcom	Case=Acc|Numb=Plur|Gend=Masc|Deg=Pos
quia	quia	CONsub	MORPH=empty
pax	pax	NOMcom	Case=Nom|Numb=Sing
vestra	uester	PROpos	Case=Nom|Numb=Sing|Gend=Fem
bellum	bellum	NOMcom	Case=Nom|Numb=Sing
est	sum1	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
illi	ille	PROdem	Case=Nom|Numb=Plur|Gend=Masc
Quam	qui1	PROrel	Case=Acc|Numb=Sing|Gend=Fem
pacem	pax	NOMcom	Case=Acc|Numb=Sing
quidam	quidam	PROind	Case=Nom|Numb=Plur|Gend=Masc
in	in	PRE	MORPH=empty
ecclesia	ecclesia	NOMcom	Case=Abl|Numb=Sing
non	non	ADVneg	MORPH=empty
habentes	habeo	VER	Case=Nom|Numb=Plur|Gend=MascFem|Mood=Par|Tense=Pres|Voice=Act
a	ab	PRE	MORPH=empty
martyribus	martyr	NOMcom	Case=Abl|Numb=Plur
in	in	PRE	MORPH=empty
earcere	earceo	VER	MORPH=empty
exorare	exoro	VER	Mood=Inf|Tense=Pres|Voice=Act
consueverunt	consuesco	VER	Numb=Plur|Mood=Ind|Tense=Perf|Voice=Act|Person=3
Et	et2	CONcoo	MORPH=empty
ideo	ideo	ADV	Deg=Pos
eam	is	PROdem	Case=Acc|Numb=Sing|Gend=Fem
propterea	propterea	ADV	Deg=Pos
in	in	PRE	MORPH=empty
vobis	uos	PROper	Case=Abl|Numb=Plur
habere	habeo	VER	Mood=Inf|Tense=Pres|Voice=Act
et	et2	CONcoo	MORPH=empty
fovere	foueo	VER	Mood=Inf|Tense=Pres|Voice=Act
et	et2	CONcoo	MORPH=empty
custodire	custodio	VER	Mood=Inf|Tense=Pres|Voice=Act
debetis	debeo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
ut	ut4	CONsub	MORPH=empty
si	si2	CONsub	MORPH=empty
forte	forte	ADV	Deg=Pos
et	et2	CONcoo	Deg=Pos
aliis	alius	PROind	Case=Dat|Numb=Plur|Gend=Com
praestare	praesto1	VER	Mood=Inf|Tense=Pres|Voice=Act
possitis	possum1	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=2
Cetera	ceterus	ADJqua	Case=Acc|Numb=Plur|Gend=Neut|Deg=Pos
aeque	aeque	ADV	Deg=Pos
animi	animus	NOMcom	Case=Gen|Numb=Sing
impedimenta	impedimentum	NOMcom	Case=Acc|Numb=Plur
usque	usque	ADV	Deg=Pos
ad	ad1	ADV	Deg=Pos
limen	limen	NOMcom	Case=Acc|Numb=Sing
carceris	carcer	NOMcom	Case=Gen|Numb=Sing
deduxerint	deduco	VER	Numb=Plur|Mood=Sub|Tense=Perf|Voice=Act|Person=3
vos	uos	PROper	Case=Acc|Numb=Plur
quousque	quousque2	ADVint	MORPH=empty
et	et2	CONcoo	Deg=Pos
parentes	parens1	NOMcom	Case=Nom|Numb=Plur
vestri	uester	PROpos	Case=Nom|Numb=Plur|Gend=Masc
Exinde	exinde	ADV	Deg=Pos
segregati	segrego	VER	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
estis	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
ab	ab	PRE	MORPH=empty
ipso	ipse	PROdem	Case=Abl|Numb=Sing|Gend=MascNeut
mundo	mundus1	NOMcom	Case=Abl|Numb=Sing
quanto	quanto1	ADVrel	Numb=Sing
magis	magis2	ADV	Deg=Comp
a	ab	PRE	MORPH=empty
saeculo	saeculum	NOMcom	Case=Abl|Numb=Sing
rebusque	res	NOMcom	Case=Dat|Numb=Plur
{rebusque}	que	CON	MORPH=empty
eius	is	PROdem	Case=Gen|Numb=Sing|Gend=Com
Nec	nec2	CONcoo	MORPH=empty
hoc	hic1	PROdem	Case=Nom|Numb=Sing|Gend=Neut
vos	uos	PROper	Case=Acc|Numb=Plur
consternet	consterno2	VER	Numb=Sing|Mood=Sub|Tense=Pres|Voice=Act|Person=3
quod	quod2	CONsub	MORPH=empty
segregati	segrego	ADJqua	Case=Nom|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
estis	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
a	ab	PRE	MORPH=empty
mundo	mundus1	NOMcom	Case=Abl|Numb=Sing
Si	si2	CONsub	MORPH=empty
enim	enim2	CONcoo	MORPH=empty
recogitemus	recogito	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=1
ipsum	ipse	PROdem	Case=Acc|Numb=Sing|Gend=MascNeut
magis	magis2	ADV	Deg=Comp
mundum	mundus1	NOMcom	Case=Acc|Numb=Sing
carcerem	carcer	NOMcom	Case=Acc|Numb=Sing
esse	sum1	VER	Mood=Inf|Tense=Pres|Voice=Act
exisse	exeo1	VER	Mood=Inf|Tense=Perf|Voice=Act
vos	uos	PROper	Case=Nom|Numb=Plur
e	ex	PRE	MORPH=empty
carcere	carcer	NOMcom	Case=Abl|Numb=Sing
quam	quam1	ADVrel	Case=Acc|Gend=Fem
in	in	PRE	MORPH=empty
carcerem	carcer	NOMcom	Case=Acc|Numb=Sing
introisse	introeo1	VER	Mood=Inf|Tense=Perf|Voice=Act
intellegemus	intelligo	VER	Numb=Plur|Mood=Ind|Tense=Fut|Voice=Act|Person=1
Maiores	magnus	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Comp
tenebras	tenebrae	NOMcom	Case=Acc|Numb=Plur
habet	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
quae	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Neut
hominum	homo	NOMcom	Case=Gen|Numb=Plur
praecordia	praecordia	NOMcom	Case=Nom|Numb=Plur
excaecant	excaeco	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Graviores	grauis	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Comp
catenas	catena	NOMcom	Case=Acc|Numb=Plur
induit	induo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
quae	qui1	PROrel	Case=Nom|Numb=Plur|Gend=Fem
ipsas	ipse	PROdem	Case=Acc|Numb=Plur|Gend=Fem
animas	anima	NOMcom	Case=Acc|Numb=Plur
hominum	homo	NOMcom	Case=Gen|Numb=Plur
constringunt	constringo	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Peiores	malus3	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Comp
immunditias	immunditia	NOMcom	Case=Acc|Numb=Plur
expirat	exspiro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
libidines	libido	NOMcom	Case=Acc|Numb=Plur
hominum	homo	NOMcom	Case=Gen|Numb=Plur
Plures	multus	ADJqua	Case=Acc|Numb=Plur|Gend=MascFem|Deg=Comp
postremo	posterius	ADV	Deg=Sup
mundus	mundus1	NOMcom	Case=Nom|Numb=Sing
reos	reus	NOMcom	Case=Acc|Numb=Plur
continet	contineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
scilicet	scilicet	ADV	Deg=Pos
universum	uniuersus	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
hominum	homo	NOMcom	Case=Gen|Numb=Plur
genus	genus1	NOMcom	Case=Acc|Numb=Sing
Iudicia	iudicium	NOMcom	Case=Acc|Numb=Plur
denique	denique	ADV	Deg=Pos
non	non	ADVneg	MORPH=empty
proconsulis	proconsul	NOMcom	Case=Gen|Numb=Sing
sed	sed	CONcoo	MORPH=empty
dei	deus	NOMcom	Case=Gen|Numb=Sing
sustinet	sustineo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
Quo	quo1	PROrel	Case=Abl|Numb=Sing|Gend=MascNeut
vos	uos	PROper	Case=Acc|Numb=Plur
benedicti	benedico2	VER	Case=Gen|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
de	de	PRE	MORPH=empty
carcere	carcer	NOMcom	Case=Abl|Numb=Sing
in	in	PRE	MORPH=empty
custodiarium	custodiarius	NOMcom	Case=Acc|Numb=Sing
si	si2	CONsub	MORPH=empty
forte	forte	ADV	Deg=Pos
translatos	transfero	VER	Case=Acc|Numb=Plur|Gend=Masc|Mood=Par|Tense=Perf|Voice=Pass
existimetis	existimo	VER	Numb=Plur|Mood=Sub|Tense=Pres|Voice=Act|Person=2
Habet	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
tenebras	tenebrae	NOMcom	Case=Acc|Numb=Plur
sed	sed	CONcoo	MORPH=empty
lumen	lumen	NOMcom	Case=Acc|Numb=Sing
estis	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
ipsi	ipse	PROdem	Case=Dat|Numb=Sing|Gend=Masc
Habet	habeo	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
vincula	uinculum	NOMcom	Case=Acc|Numb=Plur
sed	sed	CONcoo	MORPH=empty
vos	uos	PROper	Case=Nom|Numb=Plur
soluti	soluo	ADJqua	Case=Nom|Numb=Plur|Gend=Masc|Deg=Pos
deo	deus	NOMcom	Case=Dat|Numb=Sing
estis	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
Triste	tristis	ADJqua	Case=Acc|Numb=Sing|Gend=Neut|Deg=Pos
illic	illic2	ADV	Case=Nom|Deg=Pos
expirat	exspiro	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Act|Person=3
sed	sed	CONcoo	MORPH=empty
vos	uos	PROper	Case=Acc|Numb=Plur
odor	odor	NOMcom	Case=Nom|Numb=Sing
estis	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
suavitatis	suauitas	NOMcom	Case=Gen|Numb=Sing
Iudex	iudex	NOMcom	Case=Nom|Numb=Sing
expectatur	exspecto	VER	Numb=Sing|Mood=Ind|Tense=Pres|Voice=Pass|Person=3
sed	sed	CONcoo	MORPH=empty
vos	uos	PROper	Case=Nom|Numb=Plur
estis	sum1	VER	Numb=Plur|Mood=Ind|Tense=Pres|Voice=Act|Person=2
de	de	PRE	MORPH=empty
